color,count
F5F8FA,1034
000000,809
C0DEED,645
1A1B1F,56
131516,55
FFFFFF,39
0099B9,31
9AE4E8,24
B2DFDA,20
352726,17
F5ABB5,15
C6E2EE,15
642D8B,14
ACDED6,14
709397,12
FF6699,12
89C9FA,10
DBE9ED,9
022330,9
3B94D9,8
FA743E,8
ABB8C2,8
FFF04D,8
94D487,7
EDECE9,7
EBEBEB,7
BADFCD,5
DD2E44,5
91D2FA,4
FFCC4D,4
8B542B,3
FAB81E,2
F58EA8,2
0E0F0F,2
9266CC,2
19CF86,2
BF1238,2
080808,2
E81C4F,1
2ECC71,1
00AAFF,1
4A913C,1
DE0DAD,1
FC8DED,1
195C7D,1
F0EBEF,1
F1CBB2,1
FF0000,1
120030,1
3E81A3,1
B4B7B8,1
191718,1
FFDDCC,1
01090D,1
E8E8E8,1
911AD6,1
5CAFEE,1
F5EDEB,1
030303,1
BFF5BF,1
F9FCFC,1
AB0000,1
0A0105,1
FEF9F1,1
214542,1
F7A20F,1
DE1D1D,1
D4D4D4,1
EBC1D9,1
5F615B,1
B37DFA,1
70ECF5,1
F7F7F7,1
FAECC3,1
CCDADB,1
F5F7FA,1
225555,1
F5F2F5,1
FF9900,1
5BDFF0,1
ABCDEF,1
CCD2D4,1
FAFAD2,1
FFDBDB,1
09EBA0,1
26EBBA,1
FAD7D7,1
403F3F,1
ED0909,1
EB5040,1
472718,1
EFAEF5,1
828282,1
061B1F,1
FFDAAD,1
31B4F5,1
D3FCDC,1
FAAFBE,1
3D3D3D,1
F01909,1
0AFF3B,1
F8E0E0,1
D8E3E8,1
B00000,1
D7E7E6,1
08141A,1
D18819,1
FBEAD0,1
0F0F0F,1
031C30,1
FFDA0A,1
141009,1
C1E0EB,1
5DAEFA,1
0B1336,1
228B22,1
911616,1
C5DAE0,1
01070A,1
59472F,1
04003D,1
FFC2FF,1
FC7979,1
0000A0,1
3186BF,1
0D801A,1
FF1493,1
022340,1
71A386,1
1FBAC2,1
1C272E,1
1396B7,1
F1EDF5,1
7FDBB6,1
D615A3,1
FFDAB9,1
A67C52,1
C0DCF1,1
F7A00A,1
95A9AD,1
1F0B04,1
F7F7D4,1
578196,1
FAF7F8,1
A098AB,1
F0ADC3,1
F7C281,1
F77E7E,1
1B95E0,1
FADEE7,1
4DB1E3,1
FFCCCC,1
FA0A0A,1
1C130E,1
006400,1
FADADA,1
191821,1
FCF5FA,1
FAB4B4,1
ED9600,1
F7FAFA,1
56627C,1
24222D,1
FF007B,1
B30074,1
EDF5F5,1
17CED4,1
99E3F0,1
727272,1
E7F283,1
D3BEA1,1
DEDEDE,1
020812,1
AD7A56,1
FFD09E,1
158BE6,1
3F3F3E,1
C2C3CC,1
DCEB84,1
67026E,1
7BFF00,1
0F0A02,1
69D2E7,1
194B61,1
1AD44B,1
DB4040,1
B1F076,1
82C2C7,1
DAF0E1,1
6F5F6C,1
1AC5E7,1
58C2BC,1
BAA445,1
6B6259,1
03FF20,1
F04A84,1
