color,count
F5F8FA,389
000000,223
C0DEED,168
131516,13
1A1B1F,12
FFFFFF,5
89C9FA,5
352726,5
B2DFDA,4
642D8B,4
FF6699,3
ACDED6,3
F5ABB5,3
0099B9,3
3B94D9,3
FFF04D,3
709397,3
C6E2EE,3
BADFCD,3
9AE4E8,2
ED9600,1
DCEB84,1
403F3F,1
228B22,1
0F0A02,1
8B542B,1
EBEBEB,1
82C2C7,1
191718,1
26EBBA,1
F5F2F5,1
F5F7FA,1
F01909,1
006400,1
DD2E44,1
EDF5F5,1
FAD7D7,1
195C7D,1
1B95E0,1
FADADA,1
56627C,1
D7E7E6,1
3E81A3,1
472718,1
FAE4BE,1
1F0B04,1
FA0A0A,1
DB4040,1
01070A,1
191821,1
F58EA8,1
19CF86,1
022330,1
F7A00A,1
03FF20,1
A67C52,1
E8E8E8,1
EDECE9,1
5BDFF0,1
DBE9ED,1
94D487,1
ABB8C2,1
